text,sentiment
denounce Trumps intended nuke treaty withdrawal,negative
hehill Russian official Trump removing US from arms control treaty is a form of blackmail,negative
ookPolitical Since the beginning of September Republicans in House and Senate races have run 61741 ads mentioning Nancy Pelosi NEW,negative
dKrassen Imagine if Hillary was chatting over WhatsApp with the attackers of Benghazi Then imagine if she provided the attackers wit,positive
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
Arabia the worlds No1 exporter of the primary cause of climate change,negative
sAvaArmstrong I think theres an October Surprise coming that will benefit President TrumpealDonaldTrump,neutral
cJesse Youll see LGBT for TrumpBlacks for TrumpHispanics for TrumpWomen for TrumpYoull never seeTrump for LGBT Trump for Bl,negative
hatBoyYouLike This is badThis change could lead to trans folk like me no longer having access to gender affirming surgeries or horm,negative
heNoahRing Trump considers changing legal definition of gender to sex assigned at birthGod I love this presidentRaise your han,neutral
CMcLaughlin After Kavanaugh after Charlottesville after we learned this am that Trump is literally trying to write trans people out,negative
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
aysHummingbird Trump has demanded the maximum penalties for voter fraudNever forget that Trump has committed decades of tax fr,neutral
dale8 Erie Pennsylvania police estimate that 3000 people gathered outside Trumps 9000seat rally venue to watch on a screenTru,negative
greenwald Yesterday damSchiff posted one of his vintage selfpromoting Trumpera moralizing tweets where he masqueraded as a stal,negative
aggieNYT Congress is not in session before November,negative
hiitakeharry CW TransphobiaThis is monstrous Im going to respond to this thread with a list of trans advocacy groups you can supp,negative
oshShapiroPA Once again ealDonaldTrump wants to discriminate against GBT Americans through the federal rule making process It i,negative
lpaisamerica Trump anuncia que EE UU se retirar del tratado nuclear con Rusia,negative
lot of grief was rightly heaped on Hillary Clinton for calling a large segment of Americans  the deplorables W,neutral
relandnua32 NO call for sanctions against Saudi Arabia from imoncoveney over amalKhashoggi slaughterEstablishment media slam,negative
SNBC First Lady Melania Trumps spokesperson is called for a boycott of TI after a clip from his new video showing a Melania lookal,negative
tRUMPs father in law should be deported,neutral
tsJeffTiedrich remember when the Saudis murdered a journalist and Trump demanded justice and called for a full investigation into the,negative
hristianllamar Your President Donald J Trump is not showing signs of slowing down 85 DistrictCircuit Judges in 2 YEARS w 2 SCOTUS,negative
Kimmel Talks to Kellyanne Conway About Trump PutinMeeting,neutral
Keile micah1 indilu8 anaswenson007 usanmangione ealLoriAnn homThom9 Americam aligirl4trump1 ammaKel otasnowfl,neutral
eakoopa the Americans and their Trump administration seem to think trans people dont exist  me with your glorious selfiespics s,negative
cottmccloud First they came for  This is real always keep an eye on the most vulnerable   Trans people are friends to ou,negative
hadowingTrump Our Tax Man says dont be fooled by Trump and McConnell The red ink is caused by the red party,negative
helseaClinton The Trump Administration Eyes Defining Transgender Out of Existence at a moment when transgender Americans face high,negative
SJPeace Exactly Illegitimate racist Jim Crow KKK Nazi in a suit conartist fraud traitor Trump  wil,neutral
isaMei62 These people will try anything GOP Womens Group Attacking Trump Funded Solely by Male Democratic Donor via reebeacon,negative
hiitakeharry CW TransphobiaThis is monstrous Im going to respond to this thread with a list of trans advocacy groups you can supp,negative
addyDaddymac you guys better not fall for this desperate bullshit Trump Promises Major Tax Cut For Middle Class to Be Announced B,negative
eakoopa the Americans and their Trump administration seem to think trans people dont exist  me with your glorious selfiespics s,negative
eolithicSheep Hey Hey fellow cis folks This is going to kill our transgender friends and family Literally this will result in mor,negative
oncoopertweets Trump said he has yet to pay a visit to US troops overseas because hes been very busy with everything thats takin,negative
aydaymindy9 Trump made it perfectly clear over mp over againThat a Vote for any Republican candidate is a vote for TrumpKeep tha,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
Mitchell v ultiCultiBot Word Salad Bill Mitchell wins,positive
oyceWhiteVance The need to ask this question demonstrates yet another way this administration is ethically bankrupt,neutral
lennbeck John worked as my assistant years ago  So happy to see him doing well rtv illerstream,positive
hawnwasabi  PROTECT TRANS KIDS,neutral
Trump lies  Every time about everything  Why?  Because he is incapable of telling the truth  Th,negative
epStevenSmith Thats it?  James Comey,neutral
BSNews WATCH As migrant caravan in Mexico swells to 5000 Trump administration issues threats to stop them from entering the US h,neutral
ewsweek Trump administration will abuse executive power if Democrats win the House Nobel laureate warns  ht,neutral
ennieTweets  Im in danger,positive
aurakBuzz Trump is looking to make it so that trans people will by law be considered their assigned at birth gender forever no matt,neutral
edTRaccoon Trump Administration Quietly Admits There Is No Evidence To Back Claim That Obama Wiretapped TrumpThe Department of Just,negative
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
lightcrew Donald Trump Is The Only Thing That Stands Between You mp The 5000 People Coming To Invade Your Country Please Support Him,negative
oliticalShort Trump will lead rally for Cruz keeping hatchet buried,neutral
arahJamieLewis 1933 the Hitler Administration burned the library of the Institut fr Sexualwissenschaft destroying decades of queer,negative
Thank you President Trump ealDonaldTrump,positive
cottmccloud First they came for  This is real always keep an eye on the most vulnerable   Trans people are friends to ou,negative
aptainsLogAz DSen lipTheSenateTrumps trade wars have the potential to devistate family farms that have survived for generation,neutral
ansMerci86 What exactly did Ms aredkushner whisper in MBS ears that ended with Khashoggis death? I wonder if Ms Kushner had t,negative
ealMuckmaker Missoula Montana showed its resistance by giving a finger to the sky eyes of 45 Popular hiking hill Mount Sentinel,negative
llievan65 WaPo interviewTrump did not call for the ouster of  Crown Prince MBS and praised his leadership calling the prince a stro,negative
ryanbehar One of the many tragedies of the Khashoggi murder Trump doesnt actually believe the Saudis Hes just calculated that h,negative
damcbest Anybody who votes for a Democrat now is crazy  TrumpAh yes its way less crazy to vote for the GOP a party of nazis,negative
ichaelmotamed3 War we got more to give ya  its easy to go nuclear when you know you and all your loved ones are safe and tucked,negative
obreiner Trump continues to aid mp abet a murder He continues to spew racist red meat to his followers He continues degrade women H,negative
daskibenes Why do I get the feeling that Trump supporters are the kind of people who peaked in high school?,negative
teveamp ealDonaldTrump,negative
cp01 DONALD TRUMP liga para JAIR BOLSONARO Esse comediante Andr Marinho tem talento o cara imita Trump e Bolsonaro perfeito ht,positive
riiiElizabeth This is basically a big fuck you you dont deserve rights safety or even basic acknowledgment to the trans commun,negative
reasonstickers Can someone in the lamestream media please force Trump to explain why Saudi Arabia isnt included in his racist travel,negative
henoirguy Hi call your reps or yell at them in a restaurant about this if they wont talk to you who fucking cares fuck everyone who,negative
why are yall following trump may i ask,neutral
ogoTV Todays disturbing news that the Trump Administration is planning to roll back recognition and protections of trans people unde,positive
obI1dgFVywF44i                Hear is iranranourist,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
eistyFL Look what happened at a Trump Rally full of Racists AGA undayMorning,negative
rycetache The truth is thisOur country is under attackOur democracy is in dangerIf Dems dont win the HouseOur country as we,neutral
roudResister The Republican party went too far to the right too far to fascism too far to children in cages too far to sexual pred,positive
bongino Donald Trump would be the first President in American history impeached for the crime of winning an election Please pleas,negative
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
KAustinC just tweeted NY Times regarding Trump antitransgender legislation KAC reviles PASSIVE demo,negative
hehill Exambassador to Mexico pens oped detailing extreme chaos under Trump I was glad to escape  https,negative
eithboykin If you are Black Latino Native American Asian American Muslim A woman A college student Lesbian Gay B,negative
eadBunnyFrank Welcome to Dumbfuckistan where journalists asking legitimate questions in in response to wildly inaccurate statements,negative
ohnFromCranber My view SorosDems are instigating an invasion of America in a cynicalamoral attempt to try to stoke anger against T,negative
edsteeze No more slow jamming the news mp Spotify playlists I guess,negative
ernieSanders When Donald Trump not only attacks the media as fake news but glorifies physical attacks on journalists what he is d,negative
akepalmieri BOMBSHELL Trump hints at Honduras caravan being paid for by unknown source,negative
acheleklein Ohoh my god Also dale8s threads are pretty much the only medium through which I can tolerate getting info on Trum,negative
casio2018 What kind of nonsense is this?Immigration is absolutely about policy TPS DACA ICE child detention DREAM Act Mus,neutral
eithboykin If you are Black Latino Native American Asian American Muslim A woman A college student Lesbian Gay B,negative
ichaelDunn4 This episode of octorWho is hard hitting informative and absolutely necessary in an age of Trump and Brexit The raci,negative
hrisMurphyCT Ummwe have no Ambassador Because Trump cant perform the basic blocking and tackling of foreign policy like choosin,negative
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
aporTR 11 Cemal Kak olay ok derinleir S Arabistann arkasnda ABD ve srail var Kak ABD halknn gznde Suudilerin,positive
my4thepeople lack of clarity allowed the Obama administration to wrongfully extend civil rights protections to people who should n,negative
r8tjude Yeah we know thisObamaGateFBI Admits It Used MultipleSpies To Infiltrate Trump Campaign,negative
5Term Dem Paper Couldnt Wait To Endorse ProTrump ExCop,negative
Trump conspired with a hostile foreign nations to steal the election Trump is corrupt AF and a tr,negative
onyschwartz Trumps plan to define transgender as nonexistent literally makes me sick It is just hateful and inhumane which defines,negative
BexWeBex We CANNOT let this happen Please please PLEASE VOTE Check your registration Vote early if you ca,neutral
avidfrum As President Trump demands the maximum penalties both civil and criminal for VOTER FRAUD do be sure if you have not al,negative
altshaub Come on damn it Where is the fucking outrage? The UN says theres still time to stop an impending holocaust that is being,negative
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
xminaox YOU CANT HATE AND PROTEST AGAINST TRUMP WHEN YOU HAVE THE SAME INTERNALIZED RACISM AGAINST ANYONE OTHER THAN YOU AND YOUR COU,negative
rFilmkritik McConnell stole a Supreme Court seat buried evidence the Trump campaign was conspiring with Russia packed the courts af,negative
evasRobert Ya rightasshat going to Moscow to collect his rubles and get new orders for the rangeshitgibbonTrumps national secu,neutral
fpicardi This is not just an LGBTQ issue this is a straight up human rights issue Trump is proposing DNA testing to determine gende,negative
ElizabethMay I dont want this desiccated weasel corpse in my city either,negative
JSpagnoli Trump approval jumps ahead of Obamas midterm approval rating,neutral
etasynthie Yep this is the Trump administration attempting to remove the legal protections of the Civil Rights Act in healthcare ho,neutral
for the SOB GOP so no surprise,negative
rianklaas Its so chilling watching as the crowd cheers and laughs when Trump praises a Congressman for physically attacking a journa,negative
arahschulman3 Todays front page NY Times story reporting the Trump Administrations intention to erase legal recognition of Transgen,negative
I had  my way the Dems would point to Tornillo Texas and the huge tent compound were TrumpNielsenSessionsKe,positive
oxandfriends President Trump asks crowd to help him come up with a nickname for Joe Biden,negative
ylanmsmitty The look on Trump supporters faces when they finally realize hes just a crazy ass wingingitashegoes all fluff and,negative
eorgecapen Why is Trump Withdrawing From the INF?The Intermediate Range Nuclear Forces Treaty prohibits developing tactical nukes,neutral
ytimes The Trump administration is moving to exclude transgender people from civil rights protections  defining gender as either mal,negative
opSergeant He is Trump is owned by PutinSaudi ArabiaUAEand ChinaAT LEAST,negative
aurakBuzz Trump is looking to make it so that trans people will by law be considered their assigned at birth gender forever no matt,neutral
NCHIKER am65mam66 hawnLyn5 OTUS Ask yourselves these economic questions1  Besides getting cheap labor products from China w,neutral
lueSea1964  Does She Work For You? Jesse Asks Eric Trump If Rosie ODonnell Is On Payroll Gotta Love His Answer luestarZon,negative
aulMayATL Cruz bowing before his God,negative
rianklaas Donald Trump has had much harsher criticism toward Nordstrom for dropping Ivankas fashion line than he has toward MBS for,negative
ngeleStar11 More Than 77000 People Sign Up To Attend TrumpCruz Rally In HoustontTrump paid 77000 people to attend his rallyt,negative
aurakBuzz The Trump administration believe that to protect trans rights is to wrongfully extend civil rights protects to people who,negative
onyschwartz Trumps plan to define transgender as nonexistent literally makes me sick It is just hateful and inhumane which defines,negative
we withdraw from the nuclear arms treaty and we all die instantly in a hot ball of firey death who wants to,negative
schooley Some day people will read dale8 accounts of Trump rallies and be unable to believe this really happened,negative
s rewriting what?The Trump administrations attempt to rewrite gender is not enough to erase trans existence,negative
enshapiro That is literally the definition of sex,neutral
anozzi Dont forget that this is the result of a groundswell of rightwing bottomfeeders like Charlie Kirk Prison Planet and Steven,negative
enshapiro That is literally the definition of sex,neutral
oyceWhiteVance In the US lying in wait with a plan to kill someone is 1st degree murder I dont know about Saudi but Trumps failu,negative
adycybele arlaWeezie ealDonaldTrump Amen oteBlue in s too big to manipulate Give Democrats the leverage they need to fig,negative
eremiBarber ayaJones Which wasnt much It took less time to undo the stupid crap he pulled And the biggest crap is still in Obam,negative
olteNC Nobody gives a damn about Trumps taxes because the IRS has already seen and scrutinized them NYT wasted how many months on,negative
eklaMagoon Most chilling the statement that inclusive policies wrongfully extend civil rights protections to people who should not,negative
ennydiego This week in artoons Saudi Arabias announcement about the death of contributing columnist Jamal Khashoggi and the co,negative
enshapiro That is literally the definition of sex,neutral
kepTorr Perfect example of Trump derangement syndrome,negative
know youve all probably seen this but it cannot be ignored and go unpunished1 This is evil2 Whos next? T,negative
obHighfill82  TAG 10+ Trump Train  oal1321 oingRight1 arway95 lessttt ickOfTheSwamp obHighfill82,negative
aphna27 aggieNYT Hi Maggie remember this?,neutral
ryanbehar This election is not about Trumps shenanigans A GOP Congress will cut Medicare Social Security and health coverage for,negative
Hey Babe I just read Sorcha this is amazingly scary October 21 2018Demonic Leftist Mobs Move In,negative
nneNC txErgaOmnes ueenPeace2017 eanhannity Hypocrites flood the TRUMPGOP,negative
Stop  trying to spin this So why are Russian immigrants flocking to Trump owned properties payin,negative
axReformExpert President Trump has threatened to send the Army to the southern border to protect it from these caravans of invaders,neutral
ohosiefgc This is a heartless attack on our rights If enforced it would be a lifeshattering policy for meIt takes every ounce o,negative
etteMidler MISSOURI  LISTEN UP  This is a shoutout for the hardworking  heavylifting laireMcCaskill runnng against rump su,negative
aysHummingbird Trump has demanded the maximum penalties for voter fraudNever forget that Trump has committed decades of tax fr,neutral
ombx7M Trickortreataravan undayMorningedWave2018 edTsunami2018 edWave alkaway nnsotu ediabuzz rump aga an,positive
altshaub How many people did Hitler kill? How many did Stalin? UN says Saudis are about to starve 13 million The difference this t,negative
rassenstein Melania Trump thinks shes the most bullied person in the worldMichelle Obama was literally called a monkey and an,negative
avidicke rump says hashoggi death unacceptable but he prefers to keep defense contracts with Saudis,neutral
admin considering narrowing legal definition of gender and there are only two Meltdown begins,negative
axBoot dale8 is a marvel and an indispensable resource,neutral
almost hard to believe that yet another generation of Trump is a con artist no it isnt hard to believe at a,negative
artyHarderson A terrifying attempt to exhaust trans GNC and Nonbinary people out of existence Trans people alone do not have the,negative
obertMackey This is simple but phenomenally brazen lie that no previous president would have even tried to get away with,negative
arahJamieLewis 1933 the Hitler Administration burned the library of the Institut fr Sexualwissenschaft destroying decades of queer,negative
dawsey1 Trumps approval rating is now 47 the highest of his presidency per WSJNBC poll Makes the midterms a barnburner per p,negative
ealMatMolina Bush Sr left office w 269 billion deficitClinton turned tht into 127 billion surplusBush Jr turned tht into 1,neutral
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
wcdanica Singling out and stigmatizing your transgender constituents isnt just the antithesis of constituent service its dangerous,positive
rycetache You probably dont know this When Bush was reelected in 2004 my partner and I immigrated to Canada to get married mp ado,negative
Trump warns against finding Riyadh guilty until proven innocent in Saudi journalists case  via SJ,neutral
hilllingwithme 123rd trump train  followmprt riteeye777 udcann eanineC hilllingwithme ryantMD2 agamonkey flgen,negative
angoMussolini biggest LIE yet just to make MidTerms votes more gasp Evil Republican ALL OVE,negative
risco Si lo que diga Trump es lo que te hace dar una opinin en lugar de la razn creo que ests mal,positive
tsJeffTiedrich remember when the Saudis murdered a journalist and Trump demanded justice and called for a full investigation into the,negative
edtowel4 Trump  We call him 1  Joe Trump Mocks Small Crowds for Creepy Joe Biden at Competing Rally,neutral
adioFreeTom If this doesnt scare Dems into voting nothing can,negative
redguttenberg Racist hate group called Proud Boys is showing up to support Trump and Republicans and to harass candidates and voters,negative
oAltFacts1984 wainer1 Mtfromcc ussellStaffo1 ahluwal While its true that racism exists since long before Trump wouldnt you,negative
riiiElizabeth This is basically a big fuck you you dont deserve rights safety or even basic acknowledgment to the trans commun,negative
oyceWhiteVance The need to ask this question demonstrates yet another way this administration is ethically bankrupt,neutral
ransscribe If youre just not getting why the Trump administration approach to trans rights is so dangerous for everyone just imagin,negative
ichaelluo Important piece by elani9 on the voter suppression tactics in Georgia and the broader insidious political project they,neutral
eggysnakebite So if you voted for Trump or if you contributed to lets debate trans validity and you follow me?Unfollow me Now,negative
at the ILLEGAL ACTIONS demons put into play to overcome the legal attempts uccess If he would go ahead and,neutral
tsAlexJackson rt if youre transrt if youre lgbt+ community rt if you support trans rightsrt if we should throw trump in a volcano,neutral
ransscribe If youre just not getting why the Trump administration approach to trans rights is so dangerous for everyone just imagin,negative
has Trumps back Hes there bc God wants him there hell be there until His appointed time is over oh yeah Per,negative
s26783joe Hey Trump why is the caravan a Dems problem and should pass new immigration laws U mp the Republicans have all 3 branches,neutral
is fucking bullshit,negative
Ms Graham needs to take a few minutes to brush his teeth and cleanout the cobwebs from his broken,negative
planeta es de todos sin fronteras sin racismo no a la poltica del facista de Trump,negative
ackPosobiec Mooch totally gets it Trump won and will win in 2020 because he connects with Middle America He is The Blue Collar P,positive
eithboykin If you are Black Latino Native American Asian American Muslim A woman A college student Lesbian Gay B,negative
irgulaguler Kreselleme bitti Uluslararas ilikiler Asyadan doru yeniden ina ediliyor Ulusdevletten ulusdevlete,negative
gorda vai explodir fatores que podem abalar economia estadunidense  via putnikbrasil,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
rueFactsStated Does anyone wonder why Jared got the Mid East portfolio? Its so he and Trump could sell it Khassoggi was part of the,negative
ellatrixx2018 lipTheSenateSupport lairecmc  etoORourke  enBillNelson  hilBredesen  enStabenow  spyforse,negative
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
eeKlawans Trump suggests that protesting should be illegal,negative
ghfur todays rump ntitransgender news reminds me of quotes from a universally famous pacifistthere are some corners of the un,negative
Hey President Trump its not angry mobs its angry moms,negative
BSNews WATCH As migrant caravan in Mexico swells to 5000 Trump administration issues threats to stop them from entering the US h,neutral
heaCoulee Dear Trump You dont tell women what to do with their bodiesYou dont get to define genderYou dont have the qualific,negative
obreiner Trump continues to aid mp abet a murder He continues to spew racist red meat to his followers He continues degrade women H,negative
ondy This is dangerous and terrible and doesnt follow any sort of science whatsoever,negative
altshaub How many people did Hitler kill? How many did Stalin? UN says Saudis are about to starve 13 million The difference this t,negative
ikandynothem Wherever Trump goes it is standing room only and thousands turned awayMeanwhile prospective Presidentalial candidate,negative
Sverige skulle vilja stoppa invandrarnatala om lng mur Lngs hela landet Nej jag r skeptisk till att det d,negative
etWithACause IM POSITIVE IT WAS THE SAUDIS WHO DONATED 250MILLION DOLLARS TO HILLARY THRU THE CLINTON FOUNDATION DURING THE ELECTI,negative
ealDonaldTrump I never for 1 second believed theyd do anything to help president Trump or the US Send,negative
ichaelDunn4 This episode of octorWho is hard hitting informative and absolutely necessary in an age of Trump and Brexit The raci,negative
avidNnnnnguy Time it took you to become a journalist with White House press credentials 22 yearsTime it took Trump to patrol you,neutral
administration trying to define transgender out of existence NY Times,negative
rianklaas Donald Trump has had much harsher criticism toward Nordstrom for dropping Ivankas fashion line than he has toward MBS for,negative
rasejeebus If youre not furious about this you are part of the problem,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
trump fake newsVote VOTE VOTE VOTE VOTE,negative
aysHummingbird Nunes hid evidence on Trump mp Russian meddlingA top member of House Intelligence Committee has revealed shocking de,negative
enshapiro That is literally the definition of sex,neutral
Restartii 24NEWSEN estartMIGAestartopposition,negative
ikeZollo The sheer energy President Trump has is truly unmatched This man is having rallies almost everyday to defeat the anti Amer,positive
is america literally reverting back to what it used to be im so sorry for yall wtf,negative
onyschwartz Trumps plan to define transgender as nonexistent literally makes me sick It is just hateful and inhumane which defines,negative
Bernstein says his sources tell him Trump is discussing ways to dub the midterm elections illegitimate if De,negative
oseanton Tasa cero de desempleo???? Tendr alguna idea de lo que dijo???Lo dudo,negative
ylegriffin1 The Trump is looking to define gender as fixed at birth Its the latest move to roll back protections for transgender pe,neutral
rAndrewThaler Banner week for politicians with no clue how genetics worksReminder who you are at birth is the product of a roil,negative
lpnggiants uomoPrimeTime hrisCuomo Lewandowski Way to miss the point Trump was having his in,negative
wingleft These voters want someone who will keep Trumps worst impulses in check  and they no longer have faith that Republicans wi,negative
ynRandPaulRyan 1 When women were crying after Trump won THIS is what we were crying about2 Dont ever tell me again that both p,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
irbyTheGiver Only at a Trump rally rump2020 rumpRally,negative
heri4trump ITS WITHIN OUR POWER TO VOTE ~ TIME TO SAVE THE REPUBLIC ~ FELLOW PATRIOTS We Can Do This JTrumplicans Like Our Incre,neutral
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
altshaub How many people did Hitler kill? How many did Stalin? UN says Saudis are about to starve 13 million The difference this t,negative
ohnWDean From this NYT oped Trumps edge over everybody  He can do no wrong because hes all wrong He never really shocks beca,negative
uvcelest Fuck u trump,negative
avidmackau The Committee to Protect Journalists says 44 reporters have been killed around the world in 2018 61 others are missing,neutral
orninggloria Trump says the Dems organized a caravan of migrants north from Central America which I would be more prone to believe if,neutral
US Withdrawal From Nuclear Treaty Would Be A Very Dangerous Step,positive
oleBranch enJeffMerkley Please adopt this slogan Repeal Tax Cuts and leave Health Care and Social Security Alone Thanks for your,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
This isnt about you or Dems talkingThis last week Trump lost base favor bc he supported a murd,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
athygriffin OMG I love this  talk about neighborly love Get Your Fuck Trump Mug Here,negative
eginaldedward3 I think on January 1 2019 i will bury a time capsule in my backyard to be unearthed in 30  years Itll include clips,neutral
KAustinC just tweeted NY Times regarding Trump antitransgender legislation KAC reviles PASSIVE,negative
EnzoGiacomo Did ealDonaldTrump direct the movie? When U leave out the Am flag U leave out half the audience We were the 1st on the,negative
avidfrum As President Trump demands the maximum penalties both civil and criminal for VOTER FRAUD do be sure if you have not al,negative
aggieNYT Missed this last night  POTUS manufacturing nonexistent riots from the campaign trail,negative
aporTR 4 ABD Dolarn dnyann rezerv para olarak devam etmesindeki en nemli unsur petroln  ile satm alnmas ve ABD dolar sat,positive
eithboykin If you are Black Latino Native American Asian American Muslim A woman A college student Lesbian Gay B,negative
ellainxs is this a goof account? i mean its funny if it is and hilarious if its not Satan suppo,negative
ebGorka More Collusion,neutral
Daniel Dale,negative
ryptoalcon Make the Economy ScreamFor those who are seeking the truthThis is what really happened in Chile How the white house,negative
imChiChic I dont care what your reasoning is If you vote for Trump you are a evil evil human being with no regards for anyone el,negative
aurenduca To trans and nonbinary folks NOTHING this inhumane illegitimate administration does can erase you Please know you are l,negative
uH8TM3  You know ealDonaldTrump you are on to something here If the Democrats will not corporate with you on immigration laws,neutral
in Midterms Surges Boosting Trump Approval Rating via urrentStatus,neutral
ealFrankFromFL Denied service at ubytuesday in Roanoke Rapids North Carolina because of Trump shirt,negative
aurakBuzz Trump is looking to make it so that trans people will by law be considered their assigned at birth gender forever no matt,neutral
ImperatorRex POTUS Trump receives a daily intelligence briefing that provides in detail top secret intelligence that would give him,neutral
oreverLogical ealDonaldTrump Says the man who speaks at a 4th grade levelTrump speaks at fourthgrade level lowest of last 15,negative
akeno Our civil rights are at stake by their own words they believe inclusive policies wrongfully extend civil rights protections,negative
reynizzleFR Wheres this Teanna Trump and Brittany Renner vid???,positive
artyHarderson A terrifying attempt to exhaust trans GNC and Nonbinary people out of existence Trans people alone do not have the,negative
Republicans hold all the powers congress senate and the White House Trump doesnt need democrats We need to push back,negative
ichardShornick avidWi07586530 ichaelAvenatti Its not axiomatic that tough action makes one become trump Of course vote but re,negative
Trump Administration Just Sided With Obama Over Trump POTUS Humiliated  via ctribune,negative
axx98 rump = Tiny Penis,negative
edTRaccoon Trump Administration Quietly Admits There Is No Evidence To Back Claim That Obama Wiretapped TrumpThe Department of Just,negative
erpentine202 New Justice Department case shows ussia is now attacking the midterm lections  via otherJ,positive
hadHGriffin The magnitude of this cannot be overstated the TrumpPence administration is attempting to redefine sex to exclude tra,neutral
Radio News   Trump US to exit nuclear treaty citing Russian violations  President Donald Trump said the Un,negative
eorTenebroso4 Caravana migrante?????Por mi que rexhinguen a su madre en su pas y se ahoguen en su propia mierdaAl no dejarlos p,positive
watching carefully for voter fraud  via ouTube,neutral
cience genders scoops terms,negative
damcbest ReaganBush 41 grew the deficitClinton left a surplusBush 43 grew the deficitObama brought it downTrump is growi,neutral
aboukie genitals  gender,negative
ublicCitizen Jeff Sessions President Donald Trump is a lawandorder Presidentand this is a lawandorder administrationAlso,negative
asparov63 Sad but true What better way to destroy a country than to turn it against its own greatest strengths?,negative
the fuck,negative
isingserpent The lefts new mantra is voter suppressionIt signals the demise of the Russian collusion to influence election narr,negative
bongino Donald Trump would be the first President in American history impeached for the crime of winning an election Please pleas,negative
tormyDaniels Trump represents the interests of white males no? Does he also represent your size?,negative
Trump has forgotten that Republicans have been in charge for most of the last 6 years in Congress,negative
anielTurnerPTF But I thought President Trump was colluding with Russia NN?,negative
awfulfan This Florida poll is absolutely brutal for RepublicansSenate Nelson +5Governor Gillum +12Trump approval 8Florida,neutral
uperSpacedad Trump admin going after transgender people is a good time to remind people that the first bookburning the nazis threw w,negative
holeLottaRosex Is it wrong that I wish someone would punch Trump in the face?,negative
Calls Trumps Treaty Withdrawal Not the Work of a Great Mind by ANDREW E KRAMER via NYT The New York,positive
eithboykin If you are Black Latino Native American Asian American Muslim A woman A college student Lesbian Gay B,negative
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
epJerryNadler Changing federal definitions cannot and will not erase trans Americans We will fight to ensure that all LGBT individ,neutral
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
scuraPraetoria FBI Admits It Used Multiple Spies To Infiltrate Trump Campaign AGA WG1WGA Anon OTUS ealDonaldTrump,negative
s LIES about enforcing the law WILL BE EXPOSED We won in 2016 NOTHING is different SO were supposed to,negative
dale8 Congress isnt even sitting Did he just make this up on the spot?,negative
aulkrugman Look we all know what he means by unqualified its running for office while black,negative
eterdaou TRUMP ON PUTIN A strong leader TRUMP ON KIM JONGUN Hes the strong head He speaks and his people sit up at attent,negative
Suck it up Puerto Rico still trying to recover from their hurricane trump definitely doesnt tweet about last,positive
bongino Donald Trump would be the first President in American history impeached for the crime of winning an election Please pleas,negative
jhall412 GameWins OCKONOHIO aveSchreiber3 aZipstahh hioBuckeyeUS raderjohnt1 ogerCaynor,negative
straight up terrified about this new bullshit announcement by the Trump administration,negative
willi1046 The Democrat Party In A Nutshell1 AntiBorder2 AntiCitizen3 AntiLife4 AntiVoter ID5 AntiLaw mp Order6 Anti,negative
eadBunnyFrank Welcome to Dumbfuckistan where journalists asking legitimate questions in in response to wildly inaccurate statements,negative
ichaelAvenatti If Trump allows Saudi to explain this away or avoid serious repercussions he will send a msg to the world that we are,negative
heDoubleclicks If you dont vote no matter where you live I will feel betrayed by you Please please please vote if only to get,negative
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
ethAbramson Trump is unstable and dangerousHes threatening voters promising passage of a preelection tax bill when Congress isn,positive
